node,dx,dy,tile,px,py,c_o,dim,time
1,1,256,1250,1,4,o,1,0.254
1,1,256,1250,2,2,c,1,0.261
1,1,256,50,1,4,o,1,0.025
1,1,256,50,2,2,c,1,0.029
1,1,256,100,1,4,o,1,0.025
1,1,256,100,2,2,c,1,0.029
1,1,256,250,1,4,o,1,0.024
1,1,256,250,2,2,c,1,0.027
1,1,256,500,1,4,o,1,0.052
1,1,256,500,2,2,c,1,0.055
1,1,256,750,1,4,o,1,0.101
1,1,256,750,2,2,c,1,0.105
1,1,256,1000,1,4,o,1,0.17
1,1,256,1000,2,2,c,1,0.175
1,2,128,1250,1,4,o,1,0.254
1,2,128,1250,2,2,c,1,0.258
1,2,128,50,1,4,o,1,0.025
1,2,128,50,2,2,c,1,0.029
1,2,128,100,1,4,o,1,0.025
1,2,128,100,2,2,c,1,0.029
1,2,128,250,1,4,o,1,0.024
1,2,128,250,2,2,c,1,0.0265
1,2,128,500,1,4,o,1,0.051
1,2,128,500,2,2,c,1,0.054
1,2,128,750,1,4,o,1,0.1005
1,2,128,750,2,2,c,1,0.103
1,2,128,1000,1,4,o,1,0.169
1,2,128,1000,2,2,c,1,0.173
1,4,64,1250,1,4,o,1,0.254
1,4,64,1250,2,2,c,1,0.257
1,4,64,50,1,4,o,1,0.025
1,4,64,50,2,2,c,1,0.028
1,4,64,100,1,4,o,1,0.025
1,4,64,100,2,2,c,1,0.029
1,4,64,250,1,4,o,1,0.024
1,4,64,250,2,2,c,1,0.027
1,4,64,500,1,4,o,1,0.051
1,4,64,500,2,2,c,1,0.053
1,4,64,750,1,4,o,1,0.101
1,4,64,750,2,2,c,1,0.102
1,4,64,1000,1,4,o,1,0.169
1,4,64,1000,2,2,c,1,0.172
1,8,32,1250,1,4,o,1,0.254
1,8,32,1250,2,2,c,1,0.2555
1,8,32,50,1,4,o,1,0.025
1,8,32,50,2,2,c,1,0.028
1,8,32,100,1,4,o,1,0.025
1,8,32,100,2,2,c,1,0.029
1,8,32,250,1,4,o,1,0.024
1,8,32,250,2,2,c,1,0.027
1,8,32,500,1,4,o,1,0.051
1,8,32,500,2,2,c,1,0.053
1,8,32,750,1,4,o,1,0.1005
1,8,32,750,2,2,c,1,0.102
1,8,32,1000,1,4,o,1,0.169
1,8,32,1000,2,2,c,1,0.171
1,16,16,1250,2,2,o,1,0.256
1,16,16,1250,2,2,c,1,0.255
1,16,16,50,2,2,o,1,0.029
1,16,16,50,2,2,c,1,0.029
1,16,16,100,2,2,o,1,0.029
1,16,16,100,2,2,c,1,0.029
1,16,16,250,2,2,o,1,0.027
1,16,16,250,2,2,c,1,0.027
1,16,16,500,2,2,o,1,0.053
1,16,16,500,2,2,c,1,0.053
1,16,16,750,2,2,o,1,0.102
1,16,16,750,2,2,c,1,0.102
1,16,16,1000,2,2,o,1,0.171
1,16,16,1000,2,2,c,1,0.171
1,32,8,1250,4,1,o,1,0.254
1,32,8,1250,2,2,c,1,0.255
1,32,8,50,4,1,o,1,0.025
1,32,8,50,2,2,c,1,0.029
1,32,8,100,4,1,o,1,0.025
1,32,8,100,2,2,c,1,0.029
1,32,8,250,4,1,o,1,0.024
1,32,8,250,2,2,c,1,0.027
1,32,8,500,4,1,o,1,0.052
1,32,8,500,2,2,c,1,0.053
1,32,8,750,4,1,o,1,0.101
1,32,8,750,2,2,c,1,0.102
1,32,8,1000,4,1,o,1,0.1695
1,32,8,1000,2,2,c,1,0.171
1,64,4,1250,4,1,o,1,0.2535
1,64,4,1250,2,2,c,1,0.256
1,64,4,50,4,1,o,1,0.025
1,64,4,50,2,2,c,1,0.029
1,64,4,100,4,1,o,1,0.025
1,64,4,100,2,2,c,1,0.029
1,64,4,250,4,1,o,1,0.024
1,64,4,250,2,2,c,1,0.027
1,64,4,500,4,1,o,1,0.051
1,64,4,500,2,2,c,1,0.053
1,64,4,750,4,1,o,1,0.101
1,64,4,750,2,2,c,1,0.102
1,64,4,1000,4,1,o,1,0.169
1,64,4,1000,2,2,c,1,0.171
1,128,2,1250,4,1,o,1,0.2535
1,128,2,1250,2,2,c,1,0.29
1,128,2,50,4,1,o,1,0.025
1,128,2,50,2,2,c,1,0.029
1,128,2,100,4,1,o,1,0.025
1,128,2,100,2,2,c,1,0.028
1,128,2,250,4,1,o,1,0.024
1,128,2,250,2,2,c,1,0.0265
1,128,2,500,4,1,o,1,0.0515
1,128,2,500,2,2,c,1,0.053
1,128,2,750,4,1,o,1,0.1005
1,128,2,750,2,2,c,1,0.104
1,128,2,1000,4,1,o,1,0.169
1,128,2,1000,2,2,c,1,0.183
1,256,1,1250,4,1,o,1,0.2815
1,256,1,1250,2,2,c,1,0.437
1,256,1,50,4,1,o,1,0.025
1,256,1,50,2,2,c,1,0.028
1,256,1,100,4,1,o,1,0.025
1,256,1,100,2,2,c,1,0.028
1,256,1,250,4,1,o,1,0.024
1,256,1,250,2,2,c,1,0.027
1,256,1,500,4,1,o,1,0.051
1,256,1,500,2,2,c,1,0.057
1,256,1,750,4,1,o,1,0.102
1,256,1,750,2,2,c,1,0.122
1,256,1,1000,4,1,o,1,0.178
1,256,1,1000,2,2,c,1,0.243
2,1,256,1767,1,8,o,1,0.264
2,1,256,1767,4,2,c,1,0.286
2,1,256,70,1,8,o,1,0.039
2,1,256,70,4,2,c,1,0.0565
2,1,256,141,1,8,o,1,0.039
2,1,256,141,4,2,c,1,0.056
2,1,256,353,1,8,o,1,0.0365
2,1,256,353,4,2,c,1,0.055
2,1,256,707,1,8,o,1,0.0615
2,1,256,707,4,2,c,1,0.074
2,1,256,1060,1,8,o,1,0.11
2,1,256,1060,4,2,c,1,0.127
2,1,256,1414,1,8,o,1,0.18
2,1,256,1414,4,2,c,1,0.199
2,2,128,1767,1,8,o,1,0.264
2,2,128,1767,4,2,c,1,0.279
2,2,128,70,1,8,o,1,0.039
2,2,128,70,4,2,c,1,0.057
2,2,128,141,1,8,o,1,0.039
2,2,128,141,4,2,c,1,0.057
2,2,128,353,1,8,o,1,0.036
2,2,128,353,4,2,c,1,0.055
2,2,128,707,1,8,o,1,0.061
2,2,128,707,4,2,c,1,0.072
2,2,128,1060,1,8,o,1,0.111
2,2,128,1060,4,2,c,1,0.123
2,2,128,1414,1,8,o,1,0.18
2,2,128,1414,4,2,c,1,0.1925
2,4,64,1767,1,8,o,1,0.264
2,4,64,1767,4,2,c,1,0.275
2,4,64,70,1,8,o,1,0.039
2,4,64,70,4,2,c,1,0.057
2,4,64,141,1,8,o,1,0.039
2,4,64,141,4,2,c,1,0.057
2,4,64,353,1,8,o,1,0.037
2,4,64,353,4,2,c,1,0.0555
2,4,64,707,1,8,o,1,0.0615
2,4,64,707,4,2,c,1,0.071
2,4,64,1060,1,8,o,1,0.111
2,4,64,1060,4,2,c,1,0.121
2,4,64,1414,1,8,o,1,0.18
2,4,64,1414,4,2,c,1,0.19
2,8,32,1767,1,8,o,1,0.264
2,8,32,1767,4,2,c,1,0.274
2,8,32,70,1,8,o,1,0.039
2,8,32,70,4,2,c,1,0.057
2,8,32,141,1,8,o,1,0.039
2,8,32,141,4,2,c,1,0.057
2,8,32,353,1,8,o,1,0.036
2,8,32,353,4,2,c,1,0.055
2,8,32,707,1,8,o,1,0.0625
2,8,32,707,4,2,c,1,0.071
2,8,32,1060,1,8,o,1,0.111
2,8,32,1060,4,2,c,1,0.12
2,8,32,1414,1,8,o,1,0.18
2,8,32,1414,4,2,c,1,0.189
2,16,16,1767,2,4,o,1,0.269
2,16,16,1767,4,2,c,1,0.274
2,16,16,70,2,4,o,1,0.048
2,16,16,70,4,2,c,1,0.057
2,16,16,141,2,4,o,1,0.048
2,16,16,141,4,2,c,1,0.057
2,16,16,353,2,4,o,1,0.0455
2,16,16,353,4,2,c,1,0.055
2,16,16,707,2,4,o,1,0.066
2,16,16,707,4,2,c,1,0.07
2,16,16,1060,2,4,o,1,0.116
2,16,16,1060,4,2,c,1,0.12
2,16,16,1414,2,4,o,1,0.185
2,16,16,1414,4,2,c,1,0.189
2,32,8,1767,4,2,o,1,0.274
2,32,8,1767,4,2,o,2,0.269
2,32,8,1767,4,2,c,1,0.274
2,32,8,70,4,2,o,1,0.057
2,32,8,70,4,2,o,2,0.049
2,32,8,70,4,2,c,1,0.057
2,32,8,141,4,2,o,1,0.057
2,32,8,141,4,2,o,2,0.048
2,32,8,141,4,2,c,1,0.057
2,32,8,353,4,2,o,1,0.055
2,32,8,353,4,2,o,2,0.0455
2,32,8,353,4,2,c,1,0.055
2,32,8,707,4,2,o,1,0.071
2,32,8,707,4,2,o,2,0.067
2,32,8,707,4,2,c,1,0.071
2,32,8,1060,4,2,o,1,0.121
2,32,8,1060,4,2,o,2,0.116
2,32,8,1060,4,2,c,1,0.122
2,32,8,1414,4,2,o,1,0.189
2,32,8,1414,4,2,o,2,0.185
2,32,8,1414,4,2,c,1,0.189
2,64,4,1767,8,1,o,1,0.263
2,64,4,1767,4,2,c,1,0.279
2,64,4,70,8,1,o,1,0.039
2,64,4,70,4,2,c,1,0.057
2,64,4,141,8,1,o,1,0.039
2,64,4,141,4,2,c,1,0.057
2,64,4,353,8,1,o,1,0.0365
2,64,4,353,4,2,c,1,0.056
2,64,4,707,8,1,o,1,0.061
2,64,4,707,4,2,c,1,0.0725
2,64,4,1060,8,1,o,1,0.111
2,64,4,1060,4,2,c,1,0.125
2,64,4,1414,8,1,o,1,0.1795
2,64,4,1414,4,2,c,1,0.192
2,128,2,1767,8,1,o,1,0.2635
2,128,2,1767,4,2,c,1,0.299
2,128,2,70,8,1,o,1,0.039
2,128,2,70,4,2,c,1,0.057
2,128,2,141,8,1,o,1,0.039
2,128,2,141,4,2,c,1,0.057
2,128,2,353,8,1,o,1,0.036
2,128,2,353,4,2,c,1,0.056
2,128,2,707,8,1,o,1,0.061
2,128,2,707,4,2,c,1,0.076
2,128,2,1060,8,1,o,1,0.1115
2,128,2,1060,4,2,c,1,0.134
2,128,2,1414,8,1,o,1,0.18
2,128,2,1414,4,2,c,1,0.201
2,256,1,1767,8,1,o,1,0.273
2,256,1,1767,4,2,c,1,0.383
2,256,1,70,8,1,o,1,0.039
2,256,1,70,4,2,c,1,0.057
2,256,1,141,8,1,o,1,0.039
2,256,1,141,4,2,c,1,0.057
2,256,1,353,8,1,o,1,0.036
2,256,1,353,4,2,c,1,0.056
2,256,1,707,8,1,o,1,0.061
2,256,1,707,4,2,c,1,0.086
2,256,1,1060,8,1,o,1,0.111
2,256,1,1060,4,2,c,1,0.154
2,256,1,1414,8,1,o,1,0.18
2,256,1,1414,4,2,c,1,0.242
4,1,256,2500,1,16,o,1,0.27
4,1,256,2500,4,4,c,1,0.298
4,1,256,100,1,16,o,1,0.049
4,1,256,100,4,4,c,1,0.086
4,1,256,200,1,16,o,1,0.049
4,1,256,200,4,4,c,1,0.086
4,1,256,500,1,16,o,1,0.048
4,1,256,500,4,4,c,1,0.085
4,1,256,1000,1,16,o,1,0.066
4,1,256,1000,4,4,c,1,0.091
4,1,256,1500,1,16,o,1,0.116
4,1,256,1500,4,4,c,1,0.141
4,1,256,2000,1,16,o,1,0.1845
4,1,256,2000,4,4,c,1,0.211
4,2,128,2500,1,16,o,1,0.269
4,2,128,2500,4,4,c,1,0.293
4,2,128,100,1,16,o,1,0.049
4,2,128,100,4,4,c,1,0.086
4,2,128,200,1,16,o,1,0.049
4,2,128,200,4,4,c,1,0.086
4,2,128,500,1,16,o,1,0.048
4,2,128,500,4,4,c,1,0.085
