node,dx,dy,tile,px,py,c_o,dim,time
1,1,256,50,1,4,o,1,0.025
1,1,256,50,2,2,c,1,0.028
1,1,256,100,1,4,o,1,0.025
1,1,256,100,2,2,c,1,0.029
1,1,256,250,1,4,o,1,0.024
1,1,256,250,2,2,c,1,0.026
1,1,256,500,1,4,o,1,0.06
1,1,256,500,2,2,c,1,0.065
1,1,256,750,1,4,o,1,0.119
1,1,256,750,2,2,c,1,0.128
1,1,256,1000,1,4,o,1,0.2045
1,1,256,1000,2,2,c,1,0.215
1,1,256,1250,1,4,o,1,0.305
1,1,256,1250,2,2,c,1,0.322
1,2,128,50,1,4,o,1,0.025
1,2,128,50,2,2,c,1,0.029
1,2,128,100,1,4,o,1,0.026
1,2,128,100,2,2,c,1,0.029
1,2,128,250,1,4,o,1,0.024
1,2,128,250,2,2,c,1,0.026
1,2,128,500,1,4,o,1,0.06
1,2,128,500,2,2,c,1,0.062
1,2,128,750,1,4,o,1,0.12
1,2,128,750,2,2,c,1,0.124
1,2,128,1000,1,4,o,1,0.204
1,2,128,1000,2,2,c,1,0.208
1,2,128,1250,1,4,o,1,0.306
1,2,128,1250,2,2,c,1,0.314
1,4,64,50,1,4,o,1,0.025
1,4,64,50,2,2,c,1,0.029
1,4,64,100,1,4,o,1,0.025
1,4,64,100,2,2,c,1,0.029
1,4,64,250,1,4,o,1,0.024
1,4,64,250,2,2,c,1,0.026
1,4,64,500,1,4,o,1,0.06
1,4,64,500,2,2,c,1,0.061
1,4,64,750,1,4,o,1,0.119
1,4,64,750,2,2,c,1,0.122
1,4,64,1000,1,4,o,1,0.202
1,4,64,1000,2,2,c,1,0.206
1,4,64,1250,1,4,o,1,0.304
1,4,64,1250,2,2,c,1,0.307
1,8,32,50,1,4,o,1,0.025
1,8,32,50,2,2,c,1,0.029
1,8,32,100,1,4,o,1,0.025
1,8,32,100,2,2,c,1,0.029
1,8,32,250,1,4,o,1,0.024
1,8,32,250,2,2,c,1,0.025
1,8,32,500,1,4,o,1,0.059
1,8,32,500,2,2,c,1,0.0615
1,8,32,750,1,4,o,1,0.118
1,8,32,750,2,2,c,1,0.12
1,8,32,1000,1,4,o,1,0.201
1,8,32,1000,2,2,c,1,0.203
1,8,32,1250,1,4,o,1,0.303
1,8,32,1250,2,2,c,1,0.304
1,16,16,50,2,2,o,1,0.029
1,16,16,50,2,2,c,1,0.028
1,16,16,100,2,2,o,1,0.029
1,16,16,100,2,2,c,1,0.029
1,16,16,250,2,2,o,1,0.025
1,16,16,250,2,2,c,1,0.025
1,16,16,500,2,2,o,1,0.0605
1,16,16,500,2,2,c,1,0.0605
1,16,16,750,2,2,o,1,0.12
1,16,16,750,2,2,c,1,0.119
1,16,16,1000,2,2,o,1,0.201
1,16,16,1000,2,2,c,1,0.201
1,16,16,1250,2,2,o,1,0.302
1,16,16,1250,2,2,c,1,0.302
1,32,8,50,4,1,o,1,0.025
1,32,8,50,2,2,c,1,0.0285
1,32,8,100,4,1,o,1,0.025
1,32,8,100,2,2,c,1,0.029
1,32,8,250,4,1,o,1,0.024
1,32,8,250,2,2,c,1,0.025500000000000002
1,32,8,500,4,1,o,1,0.059
1,32,8,500,2,2,c,1,0.06
1,32,8,750,4,1,o,1,0.118
1,32,8,750,2,2,c,1,0.12
1,32,8,1000,4,1,o,1,0.2
1,32,8,1000,2,2,c,1,0.203
1,32,8,1250,4,1,o,1,0.302
1,32,8,1250,2,2,c,1,0.306
1,64,4,50,4,1,o,1,0.025
1,64,4,50,2,2,c,1,0.029
1,64,4,100,4,1,o,1,0.025
1,64,4,100,2,2,c,1,0.028
1,64,4,250,4,1,o,1,0.024
1,64,4,250,2,2,c,1,0.026
1,64,4,500,4,1,o,1,0.059
1,64,4,500,2,2,c,1,0.061
1,64,4,750,4,1,o,1,0.118
1,64,4,750,2,2,c,1,0.122
1,64,4,1000,4,1,o,1,0.201
1,64,4,1000,2,2,c,1,0.208
1,64,4,1250,4,1,o,1,0.305
1,64,4,1250,2,2,c,1,0.314
1,128,2,50,4,1,o,1,0.025
1,128,2,50,2,2,c,1,0.029
1,128,2,100,4,1,o,1,0.025
1,128,2,100,2,2,c,1,0.028
1,128,2,250,4,1,o,1,0.023
1,128,2,250,2,2,c,1,0.025
1,128,2,500,4,1,o,1,0.06
1,128,2,500,2,2,c,1,0.064
1,128,2,750,4,1,o,1,0.119
1,128,2,750,2,2,c,1,0.128
1,128,2,1000,4,1,o,1,0.204
1,128,2,1000,2,2,c,1,0.329
1,128,2,1250,4,1,o,1,0.31
1,128,2,1250,2,2,c,1,0.71
1,256,1,50,4,1,o,1,0.025
1,256,1,50,2,2,c,1,0.028
1,256,1,100,4,1,o,1,0.025
1,256,1,100,2,2,c,1,0.029
1,256,1,250,4,1,o,1,0.023
1,256,1,250,2,2,c,1,0.028
1,256,1,500,4,1,o,1,0.059
1,256,1,500,2,2,c,1,0.098
1,256,1,750,4,1,o,1,0.121
1,256,1,750,2,2,c,1,0.3045
