node_num,domain_x,domain_y,gpu_x,gpu_y,tag,time
1,1,256,1,4,o,0.254
1,1,256,2,2,c,0.261
1,2,128,1,4,o,0.254
1,2,128,2,2,c,0.258
1,4,64,1,4,o,0.254
1,4,64,2,2,c,0.257
1,8,32,1,4,o,0.254
1,8,32,2,2,c,0.256
1,16,16,2,2,b,0.256
1,32,8,4,1,o,0.254
1,32,8,2,2,c,0.255
1,64,4,4,1,o,0.253
1,64,4,2,2,c,0.257
1,128,2,4,1,o,0.254
1,128,2,2,2,c,0.287
1,256,1,4,1,o,0.279
1,256,1,2,2,c,0.437
2,1,256,1,8,o,0.263
2,1,256,4,2,c,0.286
2,2,128,1,8,o,0.264
2,2,128,4,2,c,0.279
2,4,64,1,8,o,0.263
2,4,64,4,2,c,0.275
2,8,32,1,8,o,0.264
2,8,32,4,2,c,0.274
2,16,16,2,4,o,0.269
2,16,16,4,2,c,0.274
2,32,8,4,2,b,0.275
2,64,4,8,1,o,0.262
2,64,4,4,2,c,0.28
2,128,2,8,1,o,0.264
2,128,2,4,2,c,0.296
2,256,1,8,1,o,0.272
2,256,1,4,2,c,0.379
4,1,256,1,16,o,0.269
4,1,256,4,4,c,0.299
4,2,128,1,16,o,0.271
4,2,128,4,4,c,0.294
4,4,64,1,16,o,0.27
4,4,64,4,4,c,0.291
4,8,32,2,8,o,0.28
4,8,32,4,4,c,0.291
4,16,16,4,4,b,0.292
4,32,8,8,2,o,0.281
4,32,8,4,4,c,0.296
4,64,4,16,1,o,0.27
4,64,4,4,4,c,0.309
4,128,2,16,1,o,0.269
4,128,2,4,4,c,0.372
4,256,1,16,1,o,0.27
4,256,1,4,4,c,0.583
8,1,256,1,32,o,0.274
8,1,256,8,4,c,0.323
8,2,128,1,32,o,0.273
8,2,128,8,4,c,0.308
8,4,64,1,32,o,0.274
8,4,64,8,4,c,0.301
8,8,32,2,16,o,0.284
8,8,32,8,4,c,0.299
8,16,16,4,8,o,0.298
8,16,16,8,4,c,0.299
8,32,8,8,4,b,0.3
8,64,4,16,2,o,0.289
8,64,4,8,4,c,0.307
8,128,2,32,1,o,0.273
8,128,2,8,4,c,0.342
8,256,1,32,1,o,0.273
8,256,1,8,4,c,0.453
16,1,256,1,64,o,0.277
16,1,256,8,8,c,0.322
16,2,128,1,64,o,0.277
16,2,128,8,8,c,0.312
16,4,64,2,32,o,0.288
16,4,64,8,8,c,0.308
16,8,32,4,16,o,0.305
16,8,32,8,8,c,0.307
16,16,16,8,8,b,0.307
16,32,8,16,4,o,0.308
16,32,8,8,8,c,0.311
16,64,4,32,2,o,0.294
16,64,4,8,8,c,0.325
16,128,2,64,1,o,0.277
16,128,2,8,8,c,0.39
16,256,1,64,1,o,0.276
16,256,1,8,8,c,0.613
32,1,256,1,128,o,0.347
32,1,256,16,8,c,0.365
32,2,128,1,128,o,0.347
32,2,128,16,8,c,0.353
32,4,64,2,64,o,0.347
32,4,64,16,8,c,0.343
32,8,32,4,32,o,0.346
32,8,32,16,8,c,0.35
32,16,16,8,16,o,0.347
32,16,16,16,8,c,0.35
32,32,8,16,8,b,0.347
32,64,4,32,4,o,0.347
32,64,4,16,8,c,0.351
32,128,2,64,2,o,0.352
32,128,2,16,8,c,0.366
32,256,1,128,1,o,0.349
32,256,1,16,8,c,0.475
64,1,256,1,256,o,0.354
64,1,256,16,16,c,0.366
64,2,128,2,128,o,0.346
64,2,128,16,16,c,0.352
64,4,64,4,64,o,0.342
64,4,64,16,16,c,0.344
64,8,32,8,32,o,0.346
64,8,32,16,16,c,0.344
64,16,16,16,16,b,0.347
64,32,8,32,8,o,0.346
64,32,8,16,16,c,0.349
64,64,4,64,4,o,0.342
64,64,4,16,16,c,0.36
64,128,2,128,2,o,0.341
64,128,2,16,16,c,0.43
64,256,1,256,1,o,0.353
64,256,1,16,16,c,0.642
