node_num,domain_x,domain_y,gpu_x,gpu_y,tag,time
1,1,256,1,4,o,0.254
1,1,256,2,2,c,0.261
1,2,128,1,4,o,0.253
1,2,128,2,2,c,0.257
1,4,64,1,4,o,0.254
1,4,64,2,2,c,0.256
1,8,32,1,4,o,0.254
1,8,32,2,2,c,0.256
1,16,16,2,2,b,0.256
1,32,8,4,1,o,0.254
1,32,8,2,2,c,0.255
1,64,4,4,1,o,0.253
1,64,4,2,2,c,0.256
1,128,2,4,1,o,0.253
1,128,2,2,2,c,0.287
1,256,1,4,1,o,0.278
1,256,1,2,2,c,0.437
2,1,256,1,8,o,0.143
2,1,256,4,2,c,0.161
2,2,128,1,8,o,0.142
2,2,128,4,2,c,0.156
2,4,64,1,8,o,0.143
2,4,64,4,2,c,0.154
2,8,32,1,8,o,0.143
2,8,32,4,2,c,0.152
2,16,16,2,4,o,0.148
2,16,16,4,2,c,0.152
2,32,8,4,2,b,0.154
2,64,4,8,1,o,0.142
2,64,4,4,2,c,0.156
2,128,2,8,1,o,0.142
2,128,2,4,2,c,0.162
2,256,1,8,1,o,0.144
2,256,1,4,2,c,0.193
4,1,256,1,16,o,0.088
4,1,256,4,4,c,0.111
4,2,128,1,16,o,0.088
4,2,128,4,4,c,0.109
4,4,64,1,16,o,0.088
4,4,64,4,4,c,0.108
4,8,32,2,8,o,0.097
4,8,32,4,4,c,0.108
4,16,16,4,4,b,0.109
4,32,8,8,2,o,0.099
4,32,8,4,4,c,0.11
4,64,4,16,1,o,0.088
4,64,4,4,4,c,0.114
4,128,2,16,1,o,0.088
4,128,2,4,4,c,0.127
4,256,1,16,1,o,0.088
4,256,1,4,4,c,0.166
8,1,256,1,32,o,0.061
8,1,256,8,4,c,0.098
8,2,128,1,32,o,0.06
8,2,128,8,4,c,0.097
8,4,64,1,32,o,0.061
8,4,64,8,4,c,0.097
8,8,32,2,16,o,0.071
8,8,32,8,4,c,0.097
8,16,16,4,8,o,0.088
8,16,16,8,4,c,0.098
8,32,8,8,4,b,0.097
8,64,4,16,2,o,0.076
8,64,4,8,4,c,0.096
8,128,2,32,1,o,0.06
8,128,2,8,4,c,0.097
8,256,1,32,1,o,0.06
8,256,1,8,4,c,0.107
16,1,256,1,64,o,0.059
16,1,256,8,8,c,0.102
16,2,128,1,64,o,0.059
16,2,128,8,8,c,0.103
16,4,64,2,32,o,0.074
16,4,64,8,8,c,0.102
16,8,32,4,16,o,0.096
16,8,32,8,8,c,0.103
16,16,16,8,8,b,0.103
16,32,8,16,4,o,0.109
16,32,8,8,8,c,0.103
16,64,4,32,2,o,0.083
16,64,4,8,8,c,0.103
16,128,2,64,1,o,0.059
16,128,2,8,8,c,0.103
16,256,1,64,1,o,0.059
16,256,1,8,8,c,0.106
32,1,256,1,128,o,0.072
32,1,256,16,8,c,0.121
32,2,128,1,128,o,0.072
32,2,128,16,8,c,0.122
32,4,64,2,64,o,0.088
32,4,64,16,8,c,0.122
32,8,32,4,32,o,0.111
32,8,32,16,8,c,0.122
32,16,16,8,16,o,0.117
32,16,16,16,8,c,0.121
32,32,8,16,8,b,0.122
32,64,4,32,4,o,0.122
32,64,4,16,8,c,0.122
32,128,2,64,2,o,0.097
32,128,2,16,8,c,0.122
32,256,1,128,1,o,0.072
32,256,1,16,8,c,0.122
64,1,256,1,256,o,0.097
64,1,256,16,16,c,0.178
64,2,128,2,128,o,0.113
64,2,128,16,16,c,0.145
64,4,64,4,64,o,0.135
64,4,64,16,16,c,0.143
64,8,32,8,32,o,0.145
64,8,32,16,16,c,0.145
64,16,16,16,16,b,0.145
64,32,8,32,8,o,0.186
64,32,8,16,16,c,0.147
64,64,4,64,4,o,0.149
64,64,4,16,16,c,0.147
64,128,2,128,2,o,0.12
64,128,2,16,16,c,0.144
64,256,1,256,1,o,0.111
64,256,1,16,16,c,0.145
