node,tileidx,ratioidx,c_o,dim,tilestart,tilecurrent,domainx,domainy,partx,party,time
1,0,0,o,1,1000000,1000000,1000,1000,2,2,0.029
1,0,0,c,1,1000000,1000000,1000,1000,2,2,0.028
1,0,1,o,1,1000000,1000000,707,1415,1,4,0.025
1,0,1,c,1,1000000,1000000,707,1415,2,2,0.029
1,0,2,o,1,1000000,1000000,500,2000,1,4,0.025
1,0,2,c,1,1000000,1000000,500,2000,2,2,0.028
1,0,3,o,1,1000000,1000000,353,2829,1,4,0.025
1,0,3,c,1,1000000,1000000,353,2829,2,2,0.029
1,0,4,o,1,1000000,1000000,250,4000,1,4,0.025
1,0,4,c,1,1000000,1000000,250,4000,2,2,0.028
1,0,5,o,1,1000000,1000000,176,5657,1,4,0.025
1,0,5,c,1,1000000,1000000,176,5657,2,2,0.028
1,0,6,o,1,1000000,1000000,125,8000,1,4,0.025
1,0,6,c,1,1000000,1000000,125,8000,2,2,0.029
1,0,7,o,1,1000000,1000000,88,11314,1,4,0.025
1,0,7,c,1,1000000,1000000,88,11314,2,2,0.029
1,0,8,o,1,1000000,1000000,62,16000,1,4,0.025
1,0,8,c,1,1000000,1000000,62,16000,2,2,0.029
1,0,9,o,1,1000000,1000000,44,22628,1,4,0.025
1,0,9,c,1,1000000,1000000,44,22628,2,2,0.0285
1,1,0,o,1,25000000,25000000,5000,5000,2,2,0.033
1,1,0,c,1,25000000,25000000,5000,5000,2,2,0.033
1,1,1,o,1,25000000,25000000,3535,7072,1,4,0.031
1,1,1,c,1,25000000,25000000,3535,7072,2,2,0.033
1,1,2,o,1,25000000,25000000,2500,10000,1,4,0.031
1,1,2,c,1,25000000,25000000,2500,10000,2,2,0.033
1,1,3,o,1,25000000,25000000,1767,14143,1,4,0.031
1,1,3,c,1,25000000,25000000,1767,14143,2,2,0.033
1,1,4,o,1,25000000,25000000,1250,20000,1,4,0.031
1,1,4,c,1,25000000,25000000,1250,20000,2,2,0.033
1,1,5,o,1,25000000,25000000,883,28285,1,4,0.031
1,1,5,c,1,25000000,25000000,883,28285,2,2,0.033
1,1,6,o,1,25000000,25000000,625,40000,1,4,0.031
1,1,6,c,1,25000000,25000000,625,40000,2,2,0.0335
1,1,7,o,1,25000000,25000000,441,56569,1,4,0.031
1,1,7,c,1,25000000,25000000,441,56569,2,2,0.034
1,1,8,o,1,25000000,25000000,312,80000,1,4,0.031
1,1,8,c,1,25000000,25000000,312,80000,2,2,0.034
1,1,9,o,1,25000000,25000000,220,113138,1,4,0.031
1,1,9,c,1,25000000,25000000,220,113138,2,2,0.034
1,2,0,o,1,100000000,100000000,10000,10000,2,2,0.08
1,2,0,c,1,100000000,100000000,10000,10000,2,2,0.08
1,2,1,o,1,100000000,100000000,7071,14143,1,4,0.079
1,2,1,c,1,100000000,100000000,7071,14143,2,2,0.0805
1,2,2,o,1,100000000,100000000,5000,20000,1,4,0.079
1,2,2,c,1,100000000,100000000,5000,20000,2,2,0.081
1,2,3,o,1,100000000,100000000,3535,28285,1,4,0.078
1,2,3,c,1,100000000,100000000,3535,28285,2,2,0.08
1,2,4,o,1,100000000,100000000,2500,40000,1,4,0.0785
1,2,4,c,1,100000000,100000000,2500,40000,2,2,0.0805
1,2,5,o,1,100000000,100000000,1767,56569,1,4,0.079
1,2,5,c,1,100000000,100000000,1767,56569,2,2,0.081
1,2,6,o,1,100000000,100000000,1250,80000,1,4,0.079
1,2,6,c,1,100000000,100000000,1250,80000,2,2,0.082
1,2,7,o,1,100000000,100000000,883,113138,1,4,0.079
1,2,7,c,1,100000000,100000000,883,113138,2,2,0.083
1,2,8,o,1,100000000,100000000,625,160000,1,4,0.079
1,2,8,c,1,100000000,100000000,625,160000,2,2,0.0845
1,2,9,o,1,100000000,100000000,441,226275,1,4,0.078
1,2,9,c,1,100000000,100000000,441,226275,2,2,0.088
1,3,0,o,1,200000000,200000000,14142,14143,2,2,0.147
1,3,0,c,1,200000000,200000000,14142,14143,2,2,0.147
1,3,1,o,1,200000000,200000000,10000,20000,1,4,0.145
1,3,1,c,1,200000000,200000000,10000,20000,2,2,0.147
1,3,2,o,1,200000000,200000000,7071,28285,1,4,0.145
1,3,2,c,1,200000000,200000000,7071,28285,2,2,0.147
1,3,3,o,1,200000000,200000000,5000,40000,1,4,0.146
1,3,3,c,1,200000000,200000000,5000,40000,2,2,0.147
1,3,4,o,1,200000000,200000000,3535,56569,1,4,0.145
1,3,4,c,1,200000000,200000000,3535,56569,2,2,0.1475
1,3,5,o,1,200000000,200000000,2500,80000,1,4,0.1455
1,3,5,c,1,200000000,200000000,2500,80000,2,2,0.148
1,3,6,o,1,200000000,200000000,1767,113138,1,4,0.144
1,3,6,c,1,200000000,200000000,1767,113138,2,2,0.149
1,3,7,o,1,200000000,200000000,1250,160000,1,4,0.146
1,3,7,c,1,200000000,200000000,1250,160000,2,2,0.152
1,3,8,o,1,200000000,200000000,883,226275,1,4,0.145
1,3,8,c,1,200000000,200000000,883,226275,2,2,0.154
1,3,9,o,1,200000000,200000000,625,320000,1,4,0.145
1,3,9,c,1,200000000,200000000,625,320000,2,2,0.159
1,4,0,o,1,300000000,300000000,17320,17321,2,2,0.214
1,4,0,c,1,300000000,300000000,17320,17321,2,2,0.214
1,4,1,o,1,300000000,300000000,12247,24495,1,4,0.212
1,4,1,c,1,300000000,300000000,12247,24495,2,2,0.214
1,4,2,o,1,300000000,300000000,8660,34642,1,4,0.213
1,4,2,c,1,300000000,300000000,8660,34642,2,2,0.215
1,4,3,o,1,300000000,300000000,6123,48990,1,4,0.212
1,4,3,c,1,300000000,300000000,6123,48990,2,2,0.215
1,4,4,o,1,300000000,300000000,4330,69283,1,4,0.214
1,4,4,c,1,300000000,300000000,4330,69283,2,2,0.217
1,4,5,o,1,300000000,300000000,3061,97980,1,4,0.212
1,4,5,c,1,300000000,300000000,3061,97980,2,2,0.216
1,4,6,o,1,300000000,300000000,2165,138565,1,4,0.213
1,4,6,c,1,300000000,300000000,2165,138565,2,2,0.218
1,4,7,o,1,300000000,300000000,1530,195960,1,4,0.213
1,4,7,c,1,300000000,300000000,1530,195960,2,2,0.22
1,4,8,o,1,300000000,300000000,1082,277129,1,4,0.213
1,4,8,c,1,300000000,300000000,1082,277129,2,2,0.224
1,4,9,o,1,300000000,300000000,765,391919,1,4,0.2115
1,4,9,c,1,300000000,300000000,765,391919,2,2,0.229
1,5,0,o,1,400000000,400000000,20000,20000,2,2,0.279
1,5,0,c,1,400000000,400000000,20000,20000,2,2,0.279
1,5,1,o,1,400000000,400000000,14142,28285,1,4,0.279
1,5,1,c,1,400000000,400000000,14142,28285,2,2,0.28
1,5,2,o,1,400000000,400000000,10000,40000,1,4,0.278
1,5,2,c,1,400000000,400000000,10000,40000,2,2,0.2805
1,5,3,o,1,400000000,400000000,7071,56569,1,4,0.278
1,5,3,c,1,400000000,400000000,7071,56569,2,2,0.281
1,5,4,o,1,400000000,400000000,5000,80000,1,4,0.2795
1,5,4,c,1,400000000,400000000,5000,80000,2,2,0.281
1,5,5,o,1,400000000,400000000,3535,113138,1,4,0.278
1,5,5,c,1,400000000,400000000,3535,113138,2,2,0.282
1,5,6,o,1,400000000,400000000,2500,160000,1,4,0.279
1,5,6,c,1,400000000,400000000,2500,160000,2,2,0.284
1,5,7,o,1,400000000,400000000,1767,226275,1,4,0.278
1,5,7,c,1,400000000,400000000,1767,226275,2,2,0.286
1,5,8,o,1,400000000,400000000,1250,320000,1,4,0.28
1,5,8,c,1,400000000,400000000,1250,320000,2,2,0.292
1,5,9,o,1,400000000,400000000,883,452549,1,4,0.279
1,5,9,c,1,400000000,400000000,883,452549,2,2,0.296
2,0,0,o,1,1000000,2000000,1414,1415,2,4,0.048
2,0,0,c,1,1000000,2000000,1414,1415,4,2,0.057
2,0,0,c,2,1000000,2000000,1414,1415,4,2,0.049
2,0,1,o,1,1000000,2000000,1000,2000,2,4,0.048
2,0,1,c,1,1000000,2000000,1000,2000,4,2,0.057
2,0,1,c,2,1000000,2000000,1000,2000,4,2,0.049
2,0,2,o,1,1000000,2000000,707,2829,1,8,0.039
2,0,2,c,1,1000000,2000000,707,2829,4,2,0.057
2,0,2,c,2,1000000,2000000,707,2829,4,2,0.049
2,0,3,o,1,1000000,2000000,500,4000,1,8,0.04
2,0,3,c,1,1000000,2000000,500,4000,4,2,0.057
2,0,3,c,2,1000000,2000000,500,4000,4,2,0.049
2,0,4,o,1,1000000,2000000,353,5657,1,8,0.039
2,0,4,c,1,1000000,2000000,353,5657,4,2,0.057
2,0,4,c,2,1000000,2000000,353,5657,4,2,0.049
2,0,5,o,1,1000000,2000000,250,8000,1,8,0.039
2,0,5,c,1,1000000,2000000,250,8000,4,2,0.057
2,0,5,c,2,1000000,2000000,250,8000,4,2,0.049
2,0,6,o,1,1000000,2000000,176,11314,1,8,0.0395
2,0,6,c,1,1000000,2000000,176,11314,4,2,0.057
2,0,6,c,2,1000000,2000000,176,11314,4,2,0.049
2,0,7,o,1,1000000,2000000,125,16000,1,8,0.039
2,0,7,c,1,1000000,2000000,125,16000,4,2,0.057
2,0,7,c,2,1000000,2000000,125,16000,4,2,0.049
2,0,8,o,1,1000000,2000000,88,22628,1,8,0.039
2,0,8,c,1,1000000,2000000,88,22628,4,2,0.057
2,0,8,c,2,1000000,2000000,88,22628,4,2,0.048
2,0,9,o,1,1000000,2000000,62,32000,1,8,0.039
2,0,9,c,1,1000000,2000000,62,32000,4,2,0.056
2,0,9,c,2,1000000,2000000,62,32000,4,2,0.049
2,1,0,o,1,25000000,50000000,7071,7072,2,4,0.047
2,1,0,c,1,25000000,50000000,7071,7072,4,2,0.056
2,1,0,c,2,25000000,50000000,7071,7072,4,2,0.048
2,1,1,o,1,25000000,50000000,5000,10000,2,4,0.047
2,1,1,c,1,25000000,50000000,5000,10000,4,2,0.056
2,1,1,c,2,25000000,50000000,5000,10000,4,2,0.048
2,1,2,o,1,25000000,50000000,3535,14143,1,8,0.041
2,1,2,c,1,25000000,50000000,3535,14143,4,2,0.056
2,1,2,c,2,25000000,50000000,3535,14143,4,2,0.048
2,1,3,o,1,25000000,50000000,2500,20000,1,8,0.0415
2,1,3,c,1,25000000,50000000,2500,20000,4,2,0.056
2,1,3,c,2,25000000,50000000,2500,20000,4,2,0.05
2,1,4,o,1,25000000,50000000,1767,28285,1,8,0.041
2,1,4,c,1,25000000,50000000,1767,28285,4,2,0.056
2,1,4,c,2,25000000,50000000,1767,28285,4,2,0.052
2,1,5,o,1,25000000,50000000,1250,40000,1,8,0.041
2,1,5,c,1,25000000,50000000,1250,40000,4,2,0.056
2,1,5,c,2,25000000,50000000,1250,40000,4,2,0.055
2,1,6,o,1,25000000,50000000,883,56569,1,8,0.041
2,1,6,c,1,25000000,50000000,883,56569,4,2,0.056
2,1,6,c,2,25000000,50000000,883,56569,4,2,0.06
2,1,7,o,1,25000000,50000000,625,80000,1,8,0.041
2,1,7,c,1,25000000,50000000,625,80000,4,2,0.056
2,1,7,c,2,25000000,50000000,625,80000,4,2,0.067
2,1,8,o,1,25000000,50000000,441,113138,1,8,0.041
2,1,8,c,1,25000000,50000000,441,113138,4,2,0.056
2,1,8,c,2,25000000,50000000,441,113138,4,2,0.075
2,1,9,o,1,25000000,50000000,312,160000,1,8,0.041
2,1,9,c,1,25000000,50000000,312,160000,4,2,0.056
2,1,9,c,2,25000000,50000000,312,160000,4,2,0.0885
2,2,0,o,1,100000000,200000000,14142,14143,2,4,0.095
2,2,0,c,1,100000000,200000000,14142,14143,4,2,0.098
2,2,0,c,2,100000000,200000000,14142,14143,4,2,0.095
2,2,1,o,1,100000000,200000000,10000,20000,2,4,0.094
2,2,1,c,1,100000000,200000000,10000,20000,4,2,0.098
2,2,1,c,2,100000000,200000000,10000,20000,4,2,0.096
2,2,2,o,1,100000000,200000000,7071,28285,1,8,0.089
2,2,2,c,1,100000000,200000000,7071,28285,4,2,0.098
2,2,2,c,2,100000000,200000000,7071,28285,4,2,0.098
2,2,3,o,1,100000000,200000000,5000,40000,1,8,0.089
2,2,3,c,1,100000000,200000000,5000,40000,4,2,0.098
2,2,3,c,2,100000000,200000000,5000,40000,4,2,0.101
2,2,4,o,1,100000000,200000000,3535,56569,1,8,0.0895
2,2,4,c,1,100000000,200000000,3535,56569,4,2,0.099
2,2,4,c,2,100000000,200000000,3535,56569,4,2,0.106
2,2,5,o,1,100000000,200000000,2500,80000,1,8,0.089
2,2,5,c,1,100000000,200000000,2500,80000,4,2,0.1
2,2,5,c,2,100000000,200000000,2500,80000,4,2,0.114
2,2,6,o,1,100000000,200000000,1767,113138,1,8,0.089
2,2,6,c,1,100000000,200000000,1767,113138,4,2,0.1025
2,2,6,c,2,100000000,200000000,1767,113138,4,2,0.123
2,2,7,o,1,100000000,200000000,1250,160000,1,8,0.089
2,2,7,c,1,100000000,200000000,1250,160000,4,2,0.105
2,2,7,c,2,100000000,200000000,1250,160000,4,2,0.137
2,2,8,o,1,100000000,200000000,883,226275,1,8,0.0885
2,2,8,c,1,100000000,200000000,883,226275,4,2,0.108
2,2,8,c,2,100000000,200000000,883,226275,4,2,0.155
2,2,9,o,1,100000000,200000000,625,320000,1,8,0.0885
2,2,9,c,1,100000000,200000000,625,320000,4,2,0.1135
2,2,9,c,2,100000000,200000000,625,320000,4,2,0.18
2,3,0,o,1,200000000,400000000,20000,20000,2,4,0.162
2,3,0,c,1,200000000,400000000,20000,20000,4,2,0.166
2,3,0,c,2,200000000,400000000,20000,20000,4,2,0.163
2,3,1,o,1,200000000,400000000,14142,28285,2,4,0.162
2,3,1,c,1,200000000,400000000,14142,28285,4,2,0.1655
2,3,1,c,2,200000000,400000000,14142,28285,4,2,0.165
2,3,2,o,1,200000000,400000000,10000,40000,1,8,0.157
2,3,2,c,1,200000000,400000000,10000,40000,4,2,0.166
2,3,2,c,2,200000000,400000000,10000,40000,4,2,0.168
2,3,3,o,1,200000000,400000000,7071,56569,1,8,0.157
2,3,3,c,1,200000000,400000000,7071,56569,4,2,0.1655
2,3,3,c,2,200000000,400000000,7071,56569,4,2,0.173
2,3,4,o,1,200000000,400000000,5000,80000,1,8,0.157
2,3,4,c,1,200000000,400000000,5000,80000,4,2,0.167
2,3,4,c,2,200000000,400000000,5000,80000,4,2,0.18
2,3,5,o,1,200000000,400000000,3535,113138,1,8,0.156
2,3,5,c,1,200000000,400000000,3535,113138,4,2,0.168
2,3,5,c,2,200000000,400000000,3535,113138,4,2,0.19
2,3,6,o,1,200000000,400000000,2500,160000,1,8,0.156
2,3,6,c,1,200000000,400000000,2500,160000,4,2,0.1705
2,3,6,c,2,200000000,400000000,2500,160000,4,2,0.2055
2,3,7,o,1,200000000,400000000,1767,226275,1,8,0.155
2,3,7,c,1,200000000,400000000,1767,226275,4,2,0.1735
2,3,7,c,2,200000000,400000000,1767,226275,4,2,0.222
2,3,8,o,1,200000000,400000000,1250,320000,1,8,0.156
2,3,8,c,1,200000000,400000000,1250,320000,4,2,0.1805
2,3,8,c,2,200000000,400000000,1250,320000,4,2,0.2495
2,3,9,o,1,200000000,400000000,883,452549,1,8,0.155
2,3,9,c,1,200000000,400000000,883,452549,4,2,0.192
2,3,9,c,2,200000000,400000000,883,452549,4,2,0.286
2,4,0,o,1,300000000,600000000,24494,24495,2,4,0.23
2,4,0,c,1,300000000,600000000,24494,24495,4,2,0.2335
2,4,0,c,2,300000000,600000000,24494,24495,4,2,0.231
2,4,1,o,1,300000000,600000000,17320,34642,2,4,0.229
2,4,1,c,1,300000000,600000000,17320,34642,4,2,0.234
2,4,1,c,2,300000000,600000000,17320,34642,4,2,0.236
2,4,2,o,1,300000000,600000000,12247,48990,1,8,0.225
2,4,2,c,1,300000000,600000000,12247,48990,4,2,0.233
2,4,2,c,2,300000000,600000000,12247,48990,4,2,0.238
2,4,3,o,1,300000000,600000000,8660,69283,1,8,0.224
2,4,3,c,1,300000000,600000000,8660,69283,4,2,0.235
2,4,3,c,2,300000000,600000000,8660,69283,4,2,0.244
2,4,4,o,1,300000000,600000000,6123,97980,1,8,0.224
2,4,4,c,1,300000000,600000000,6123,97980,4,2,0.234
2,4,4,c,2,300000000,600000000,6123,97980,4,2,0.253
2,4,5,o,1,300000000,600000000,4330,138565,1,8,0.225
2,4,5,c,1,300000000,600000000,4330,138565,4,2,0.237
2,4,5,c,2,300000000,600000000,4330,138565,4,2,0.2645
2,4,6,o,1,300000000,600000000,3061,195960,1,8,0.2225
2,4,6,c,1,300000000,600000000,3061,195960,4,2,0.238
2,4,6,c,2,300000000,600000000,3061,195960,4,2,0.28
2,4,7,o,1,300000000,600000000,2165,277129,1,8,0.223
2,4,7,c,1,300000000,600000000,2165,277129,4,2,0.244
2,4,7,c,2,300000000,600000000,2165,277129,4,2,0.301
2,4,8,o,1,300000000,600000000,1530,391919,1,8,0.2235
2,4,8,c,1,300000000,600000000,1530,391919,4,2,0.254
2,4,8,c,2,300000000,600000000,1530,391919,4,2,0.335
2,4,9,o,1,300000000,600000000,1082,554257,1,8,0.2235
2,4,9,c,1,300000000,600000000,1082,554257,4,2,0.27
2,4,9,c,2,300000000,600000000,1082,554257,4,2,0.3795
2,5,0,o,1,400000000,800000000,28284,28285,2,4,0.298
2,5,0,c,1,400000000,800000000,28284,28285,4,2,0.301
2,5,0,c,2,400000000,800000000,28284,28285,4,2,0.3
2,5,1,o,1,400000000,800000000,20000,40000,2,4,0.295
2,5,1,c,1,400000000,800000000,20000,40000,4,2,0.301
2,5,1,c,2,400000000,800000000,20000,40000,4,2,0.302
2,5,2,o,1,400000000,800000000,14142,56569,1,8,0.293
2,5,2,c,1,400000000,800000000,14142,56569,4,2,0.3
2,5,2,c,2,400000000,800000000,14142,56569,4,2,0.307
2,5,3,o,1,400000000,800000000,10000,80000,1,8,0.29
2,5,3,c,1,400000000,800000000,10000,80000,4,2,0.301
2,5,3,c,2,400000000,800000000,10000,80000,4,2,0.314
2,5,4,o,1,400000000,800000000,7071,113138,1,8,0.289
2,5,4,c,1,400000000,800000000,7071,113138,4,2,0.301
2,5,4,c,2,400000000,800000000,7071,113138,4,2,0.323
2,5,5,o,1,400000000,800000000,5000,160000,1,8,0.291
